CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF,CFF_max_from_Lafitte_2022,Comments_from_Lafitte_2022,,
"McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M. 2013 Comparative Visual Function in Predatory Fishes from the Indian River Lagoon Comparative Visual Function in Predatory Fishes from the Indian River Lagoon McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M.",y,M,Actinopterygii,Common snook,Centropomus undecimalis,Centropomus_undecimalis,"Centropomus undecimalisÊBloch, 1792",pelagic,high,ballistic,feeds_on_finfish_but_also_benthic_food_from_fishbase,959.42,fishbase 50cm common length,ERG,Electrophysiology,mean,39.6,40.8,"mean; photopic for CFF (max irradiance); and scotopic 34 ± 1,03 Hz",,
"Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K. 2013 Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K.",y,L,Actinopterygii,Black seabass,Centropristis striata,Centropristis_striata,"Centropristis striataÊLinnaeus, 1758",pelagic,high,ballistic,FinFish_makes_up_diet_fishbase,444.75,fishbase 30cm common length,ERG,Electrophysiology,mean,52,52,mean ; day-time experiment value ; FFFmax,,
"Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K. 2013 Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K.",y,L,Actinopterygii,Atlantic spadefish,Chaetodipterus faber,Chaetodipterus_faber,"Chaetodipterus faberÊBroussonet, 1782",demersal,high,forage,Based_of_detrius_and_zoo_bentohs_diet,3379.62,fishbase 50.4cm common length,ERG,Electrophysiology,mean,60,60,mean ; day-time experiment value ; FFFmax,,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,L,Actinopterygii,Spotted seatrout,Cynoscion nebulosus,Cynoscion_nebulosus,"Cynoscion nebulosusÊCuvier, 1830",demersal,high,ballistic,based_diet_of_finfish_fishbase,565.39,fishbase 36cm common length,ERG,Electrophysiology,mean,60,65.5,mean value from the text (60 Hz in the graph) and SE from graph; day-time experiment value,,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,L,Actinopterygii,Gray weakfish,Cynoscion regalis,Cynoscion_regalis,"Cynoscion regalisÊBloch & Schneider, 1801",pelagic,low,ballistic,based_diet_of_finfish_fishbase,1187.5,fishbase 50cm common length,ERG,Electrophysiology,mean,43,50.2,"mean value from the text (42 Hz in graph) and SE from graph; night-time experiment value ; 40,8 Hz at day-time",,
"Patterson, WF; McDowell, AL; Hughes, A; Bilotta, J 2002 Opponent and nonopponent contributions to the zebrafish electroretinogram using heterochromatic flicker photometry Opponent and nonopponent contributions to the zebrafish electroretinogram using heterochromatic flicker photometry Patterson, WF; McDowell, AL; Hughes, A; Bilotta, J",y,L,Actinopterygii,Zebrafish,Danio rerio,Danio_rerio,"Danio rerioÊHamilton, 1822",pelagic,high,forage,"Feeds_on_worms_and_small_crustaceans_ Mills, D. and G. Vevers, 1989. The Tetra encyclopedia of freshwater tropical aquarium fishes. Tetra Press, New Jersey. 208 p. ",0.88,mean wiegth from Clark et al 2018 Body Condition Scoring for Adult Zebrafish (Danio rerio),ERG,Electrophysiology,minimum,32,32,still responses to flicker at 32 Hz (max tested); while differences in responses between ech type of cones,,
"Brill, Richard W.; Horodysky, Andrij Z.; Place, Allen R.; Larkin, Mary E. M.; Reimschuessel, Renate 2019 Effects of dietary taurine level on visual function in European sea bass (Dicentrarchus labrax) Effects of dietary taurine level on visual function in European sea bass (Dicentrarchus labrax) Brill, Richard W.; Horodysky, Andrij Z.; Place, Allen R.; Larkin, Mary E. M.; Reimschuessel, Renate",y,M,Actinopterygii,European bass,Dicentrarchus labrax,Dicentrarchus_labrax,"Dicentrarchus labraxÊLinnaeus, 1758",pelagic,high,ballistic,"Based on descriptions of diet Laffaille, P., Lefeuvre, J.C., Schricke, M.T. et al. Feeding ecology of o-group sea bass,Dicentrarchus labrax, in salt marshes of Mont Saint Michel Bay (France). Estuaries 24, 116Ð125 (2001). https://doi.org/10.2307/1352818",1430,fisebase_50cm common length,ERG,Electrophysiology,median,117,154.6,diagram reading ; not maximal light intensity ; max: ~ 154.59 Hz and min at ~70.35 Hz,,
"Crozier, W. J., & Wolf, E. (1940). The flicker response curve for Fundulus. The Journal of General Physiology, 34(6), 677–694.",y,,Actinopterygii,Mummichog,Fundulus heteroclitus,Fundulus_heteroclitus_heteroclitus,,demersal,high,forage,"Kneib, R. T., & Stiven, A. E. (1978). Growth, reproduction, and feeding oF Fundulus heteroclitus (L.) on a North Carolina salt marsh. Journal of Experimental Marine Biology and Ecology, 31(2), 121–140. https://doi.org/10.1016/0022-0981(78)90125-9",7.4,"Bugel, S. M., White, L. A., & Cooper, K. R. (2010). Impaired reproductive health of killifish (Fundulus heteroclitus) inhabiting Newark Bay, NJ, a chronically contaminated estuary. Aquatic Toxicology, 96(3), 182–193. https://doi.org/10.1016/j.aquatox.2009.10.016",Optomotor,Behavioural,range,52,,,,
"Inger, R., Bennie, J., Davies, T. W., & Gaston, K. J. (2014). Potential Biological and Ecological Effects of Flickering Artificial Light. PLoS ONE, 9(5), 98631. https://doi.org/10.1371/journal.pone.0098631.t001",y,,Actinopterygii,Threespined stickleback,Gasterosteus aculeatus,Gasterosteus_aculeatus,,pelagic,high,ballistic,"Hart, P. J.B., and A. B. Gill. 1992. “Constraints on Prey Size Selection by the Three?spined Stickleback: Energy Requirements and the Capacity and Fullness of the Gut.” Journal of Fish Biology 40(2): 205–18.",1.5,"Pottinger, T. (2002). The three-spined stickleback as an environmental sentinel: effects of stressors on whole-body physiological indices. Journal of Fish Biology, 61(1), 207–229. https://doi.org/10.1006/jfbi.2002.2034",Behavioural,Behavioural,,67,,,,
"Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob 2013 A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob",y,M,Actinopterygii,Weakly electric fish,Gnathonemus petersii,Gnathonemus_petersii,"Gnathonemus petersiiÊGŸnther, 1862",demersal,low,forage,typicalally_annalids_fishbase,5.85,"size from Nilsson 1996 Brain and Body Oxygen Requirements of Gnathonemus Petersii, a Fish with an Exceptionally Large Brain",ERG,Electrophysiology,mean,50,50,about' ; high frequency CFF ; at 100 % contrast,,
"Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob 2013 A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob",y,E,Actinopterygii,,Gnathonemus petersii,Gnathonemus_petersii,"Gnathonemus petersii GŸnther, 1862",demersal,low,forage,typicalally_annalids_fishbase,5.85,"size from Nilsson 1996 Brain and Body Oxygen Requirements of Gnathonemus Petersii, a Fish with an Exceptionally Large Brain",Behavioural,Behavioural,NA,45,45,for a single fish,,
"VANDERMEER, HJ 1994 ONTOGENIC CHANGE OF VISUAL THRESHOLDS IN THE CICHLID FISH HAPLOCHROMIS-SAUVAGEI ONTOGENIC CHANGE OF VISUAL THRESHOLDS IN THE CICHLID FISH HAPLOCHROMIS-SAUVAGEI VANDERMEER, HJ",y,M,Actinopterygii,,Haplochromis sauvagei,Haplochromis_luteus,"Haplochromis sauvageiÊPfeffer, 1896",pelagic,high,forage,Diet_detrus_gastropds_fishbase,12.7179,size based on 10.5cm and the general equation in fishbaseeats snails,Optomotor,Behavioural,Unknown,18,18,diagram reading ; for threshold values of FFF ; last value recorded but still increasing with log Intensity,,
"McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M. 2013 Comparative Visual Function in Predatory Fishes from the Indian River Lagoon Comparative Visual Function in Predatory Fishes from the Indian River Lagoon McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M.",y,M,Actinopterygii,Pinfish,Lagodon rhomboides,Lagodon_rhomboides,"Lagodon rhomboidesÊLinnaeus, 1766",demersal,high,ballistic,Diet_includes_small_fish_and_crustaceans_fishbase,149.22,fisebase_18cm common length,ERG,Electrophysiology,mean,43.7,44.6,"mean; photopic for CFF (max irradiance); and scotopic 36,5 ± 1,11 Hz",,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,L,Actinopterygii,Spot,Leiostomus xanthurus,Leiostomus_xanthurus,"Leiostomus xanthurusÊLacepde, 1802",demersal,high,forage,Mainly_feeds_on_detris_fishbase,234.52,fisebase_25cm common length,ERG,Electrophysiology,mean,55,60,"diagram reading, mean ; day-time experiment value",,
"Landgren, Eva; Fritsches, Kerstin; Brill, Richard; Warrant, Eric 2014 The visual ecology of a deep-sea fish, the escolar Lepidocybium flavobrunneum (Smith, 1843)(+) The visual ecology of a deep-sea fish, the escolar Lepidocybium flavobrunneum (Smith, 1843)(+) Landgren, Eva; Fritsches, Kerstin; Brill, Richard; Warrant, Eric",y,M,Actinopterygii,Escolar,Lepidocybium flavobrunneum,Lepidocybium_flavobrunneum,"Lepidocybium flavobrunneumÊSmith, 1843",pelagic,low,ballistic,"fishbase_Feeds on squid, crustaceans and a wide variety of fishes ",38600,fisebase_150cm common length,ERG,Electrophysiology,mean,8.8,12.1,"mean ; highest recorded 12,8 Hz at 23¡C ; minimum at deeper levels 2 Hz",,
"Wolf, E.; Zerrahn-Wolf, G. 1935 Threshold intensity of illumination and flicker frequency for the eye of the sun-fish Threshold intensity of illumination and flicker frequency for the eye of the sun-fish Wolf, E.; Zerrahn-Wolf, G.",y,M,Actinopterygii,Sunfish,Lepomis_sp,Lepomis_punctatus,"LepomisÊsp. Rafinesque, 1819",pelagic,high,ballistic,small_fish_and apmphiopods_common_in_diet_fishbase,173.14,size from 19.1cm for Lepomis macrochirus,Optomotor,Behavioural,mean,50,50,maximum mean value of CFF at maximum light intensity; diagram reading for intensity,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Californian grunion,Leuresthes tenuis,Leuresthes_tenuis,"Leuresthes tenuisÊAyres, 1860",pelagic,high,ballistic,"feeding_behavior_from_Higgins, B.A. and Horn, M.H. (2014), Suction among pickers: jaw mechanics, dietary breadth and feeding behaviour in beach-spawning Leuresthes spp. compared with their relatives. J Fish Biol, 84: 1689-1707. https://doi.org/10.1111/jfb.12385",17.57333,"Mass_based _on_mean_from_Johnson, P.B., Martin, K.L., Vandergon, T.L., Honeycutt, R.L., Burton, R.S. and Fry, A., 2009. Microsatellite and mitochondrial genetic comparisons between northern and southern populations of California grunion (Leuresthes tenuis). Copeia, 2009(3), pp.465-474.",ERG,Electrophysiology,minimum,60,60,individual lower fusion frequency (not averaged),,
"McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M. 2013 Comparative Visual Function in Predatory Fishes from the Indian River Lagoon Comparative Visual Function in Predatory Fishes from the Indian River Lagoon McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M.",y,M,Actinopterygii,Grey snapper,Lutjanus griseus,Lutjanus_griseus,"Lutjanus griseusÊLinnaeus, 1758",pelagic,low,ballistic,Diet_includes_small_fish_and_crustaceans_fishbase,1072.02,fisebase_40cm common length,ERG,Electrophysiology,mean,46.7,48.8,"mean; photopic for CFF (max irradiance); and scotopic 42,0 ± 1,88 Hz",,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,L,Actinopterygii,Atlantic croaker,Micropogonias undulatus,Micropogonias_undulatus,"Micropogonias undulatusÊLinnaeus, 1766",demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,418.79,fisebase_40cm common length,ERG,Electrophysiology,mean,59,64,"diagram reading, mean ; day-time experiment value",,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,M,Actinopterygii,Striped bass,Morone saxatilis,Morone_saxatilis,"Morone saxatilisÊWalbaum, 1792",demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,22067.25,fisebase_120cm common length,ERG,Electrophysiology,mean,75,77,"diagram reading, mean, SE ; day-time experiment value",,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Grey mullet,Mugil cephalus,Mugil_cephalus,"Mugil cephalusÊLinnaeus, 1758",pelagic,high,forage,"Jamabo, N.A. and Maduako, N.C., 2015. Food and feeding habits of Mugil cephalus (linnaeus, 1758) in elechi creek, Niger delta, Nigeria. International Journal of Fisheries and Aquaculture, 7(3), pp.25-29.",1424,"Jamabo, N.A. and Maduako, N.C., 2015. Food and feeding habits of Mugil cephalus (linnaeus, 1758) in elechi creek, Niger delta, Nigeria. International Journal of Fisheries and Aquaculture, 7(3), pp.25-29.",ERG,Electrophysiology,minimum,100,100,individual lower fusion frequency (not averaged),,
"CARVALHO, P. S. M.; NOLTIE, D. B.; TILLITT, D. E. 2004 Biochemical, histological and behavioural aspects of visual functioning during early development of rainbow trout Biochemical, histological and behavioural aspects of visual functioning during early development of rainbow trout CARVALHO, P. S. M.; NOLTIE, D. B.; TILLITT, D. E.",y,M,Actinopterygii,Rainbow trout,Oncorhynchus mykiss,Oncorhynchus_mykiss,"Oncorhynchus mykissÊWalbaum, 1792",pelagic,low,ballistic,"Gabriel J. Rossi, Mary E. Power, Shelley Pneh, Jason R. Neuswanger, and Timothy J. Caldwell. 2021. Foraging modes and movements of Oncorhynchus mykiss as flow and invertebrate drift recede in a California stream. Canadian Journal of Fisheries and Aquatic Sciences. 78(8): 1045-1056. ",2391.21,fisebase_60cm common length,Behavioural,Behavioural,mean,27.1,27.1,highest mean value for 90 days post hatch and max illuminance of 4.42E-05 W cm-2,,
"Carvalho, PSM; Noltie, DB; Tillitt, DE 2002 Ontogenetic improvement of visual function in the medaka Oryzias latipes based on an optomotor testing system for larval and adult fish Ontogenetic improvement of visual function in the medaka Oryzias latipes based on an optomotor testing system for larval and adult fish Carvalho, PSM; Noltie, DB; Tillitt, DE",y,M,Actinopterygii,Medaka,Oryzias latipes,Oryzias_latipes,"Oryzias latipesÊTemminck & Schlegel, 1846",pelagic,low,forage,based_off_diet_of_plankton_fishbase,0.24,fisebase_3cm common length,Behavioural,Behavioural,mean,37.2,37.2,adult (65 days post hatch) (for 10 days posthatch: 18 Hz ; for juveniles: 26 Hz) at maximum illuminance ; cannot distinguish movement of the stripes,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Barred sand bass,Paralabrax nebulifer,Paralabrax_nebulifer,"Paralabrax nebuliferÊGirard, 1854",demersal,high,ballistic,fishebase,6000,Based_on_single_entry_of_6kg_on_fishbase,ERG,Electrophysiology,minimum,50,50,individual lower fusion frequency (not averaged),,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,M,Actinopterygii,Summer flounder,Paralichthys dentatus,Paralichthys_dentatus,"Paralichthys dentatusÊLinnaeus, 1766",demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,943.99,fisebase_43.5cm median length reported,ERG,Electrophysiology,mean,52,55,"diagram reading, mean, SE ; day-time experiment value, ""benthic""",,
"Ubels, John L.; DeJong, Randall J.; Hoolsema, Brittany; Wurzberger, Amy; Thuy-Tien Nguyen; Blankespoor, Harvey D.; Blankespoor, Curtis L. 2018 Impairment of retinal function in yellow perch (Perca flavescens) by Diplostomum baeri metacercariae Impairment of retinal function in yellow perch (Perca flavescens) by Diplostomum baeri metacercariae Ubels, John L.; DeJong, Randall J.; Hoolsema, Brittany; Wurzberger, Amy; Thuy-Tien Nguyen; Blankespoor, Harvey D.; Blankespoor, Curtis L.",y,M,Actinopterygii,Yellow perch,Perca flavescens,Perca_flavescens,"Perca flavescensÊMitchill, 1814",pelagic,high,ballistic,finfish_fishbase,99.78,fishbase 19.1cm common length,ERG,Electrophysiology,mean,23,32.2,"mean values for normal retinae ; up to 40 Hz (individual values) ; only average 15,8 ± 3,8 Hz for infected by nematod perch",,
Lythgoe JN (1979) The ecology of vision. Oxford: Claredon Press.,y,Not_appraised,Actinopterygii,guppy,Poecilia reticulata,Poecilia_reticulata,,pelagic,high,ballistic,Diet_of_insects_fishbase,0.35,fishbase 2.8cm common length,Behavioural,Behavioural,,67,67,,,
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",y,M,Actinopterygii,Bluefish,Pomatomus saltatrix,Pomatomus_saltatrix,"Pomatomus saltatrixÊLinnaeus, 1766",pelagic,high,pursuit,"McHenry, M.J., Johansen, J.L., Soto, A.P., Free, B.A., Paley, D.A. and Liao, J.C., 2019. The pursuit strategy of predatory bluefish (Pomatomus saltatrix). Proceedings of the Royal Society B, 286(1897), p.20182934.",2101.53,fishbase 60cm common length,ERG,Electrophysiology,mean,56,58,"diagram reading, mean, SE ; day-time experiment value",,
